Índice de precios de consumo (IPC). Por grupos de consumo
Cataluña
Variación interanual %
Fuente: INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=basics&n=10261&col=3&lang=es
;Índice general;Alimentos y bebidas no alcohólicas;Bebidas alcohólicas, tabaco y estupefacientes;Vestido y calzado;Vivienda, agua, electricidad, gas y otros combustibles;Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Sanidad;Transporte;Información y comunicaciones;Actividades recreativas, deporte y cultura;Servicios de educación;Restaurantes y servicios de alojamiento;Seguros y servicios financieros;Cuidado personal, protección social, y bienes y servicios diversos
12/2002;4,0;4,6;4,6;5,3;2,9;2,4;2,6;5,0;-9,6;4,3;4,7;5,8;4,3;3,3
11/2002;3,9;4,9;4,6;5,6;2,6;2,2;2,6;4,0;-9,0;4,4;4,2;5,8;4,3;3,3
10/2002;4,0;5,1;4,6;5,2;2,5;2,1;2,5;4,1;-8,5;4,8;4,1;5,8;4,3;3,2
09/2002;3,5;4,8;6,2;3,1;2,4;1,9;2,5;2,6;-7,5;4,3;3,8;6,0;4,6;3,3
08/2002;3,6;4,6;7,2;4,9;2,4;1,8;2,6;2,3;-7,1;5,0;3,7;5,8;4,7;3,2
07/2002;3,4;4,6;7,2;4,7;1,9;1,8;2,5;1,5;-7,1;4,6;3,7;5,8;4,7;3,1
06/2002;3,4;4,7;7,3;6,0;1,7;1,9;2,5;0,0;-6,5;5,1;3,7;5,9;5,1;3,1
05/2002;3,6;4,7;7,5;6,1;1,9;1,9;2,5;1,2;-7,0;5,4;3,7;5,8;5,2;3,1
04/2002;3,6;4,7;7,9;5,6;1,8;2,0;3,2;2,2;-6,1;3,5;3,7;5,7;5,2;3,0
03/2002;3,1;4,3;3,7;2,9;2,3;1,9;3,1;1,4;-5,8;5,5;3,6;5,4;5,5;3,0
02/2002;3,1;4,5;3,5;5,5;2,3;1,9;2,8;0,2;-5,3;4,1;3,6;4,7;5,9;2,9
01/2002;3,1;4,4;3,6;6,1;2,4;1,8;2,2;0,2;-5,2;3,9;3,5;4,0;5,8;2,6

